unicode,emoji,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,Position,Unicode block,le_+,le_-,le_0,sent_score,sent_score_class,upper_error_class,lower_error_class,sent_polar,primary_basic_emot
1F445,👅,0.0,0.17,0.0,0.0,0.36,0.0,0.08,0.11,0.738179133,Miscellaneous Symbols and Pictographs,0.5854922279792746,0.1243523316062176,0.2901554404145077,0.4611398963730569,Positive,Positive,Positive,Positive,joy
1F447,👇,0.11,0.14,0.0,0.06,0.0,0.0,0.0,0.11,0.557020638,Miscellaneous Symbols and Pictographs,0.3917525773195876,0.1443298969072164,0.4639175257731959,0.2474226804123711,Positive,Positive,Neutral,Positive,anticipation
1F448,👈,0.14,0.17,0.0,0.0,0.0,0.0,0.06,0.08,0.701409121,Miscellaneous Symbols and Pictographs,0.5084745762711864,0.0847457627118644,0.4067796610169492,0.423728813559322,Positive,Positive,Positive,Positive,anticipation
1F449,👉,0.06,0.25,0.0,0.0,0.0,0.0,0.03,0.17,0.559175629,Miscellaneous Symbols and Pictographs,0.4610169491525424,0.0711864406779661,0.4677966101694915,0.3898305084745763,Positive,Positive,Positive,Positive,anticipation
1F44A,👊,0.44,0.36,0.14,0.11,0.22,0.0,0.0,0.61,0.824515864,Miscellaneous Symbols and Pictographs,0.4924078091106291,0.2646420824295011,0.2429501084598698,0.227765726681128,Positive,Positive,Positive,Positive,trust
1F44B,👋,0.08,0.28,0.06,0.0,0.22,0.0,0.08,0.22,0.797944108,Miscellaneous Symbols and Pictographs,0.5714285714285714,0.1584415584415584,0.2701298701298701,0.4129870129870129,Positive,Positive,Positive,Positive,anticipation
1F44C,👌,0.0,0.36,0.0,0.0,0.22,0.0,0.22,0.56,0.805222883,Miscellaneous Symbols and Pictographs,0.657103825136612,0.0939207650273224,0.2489754098360656,0.5631830601092896,Positive,Positive,Positive,Positive,trust
1F44D,👍,0.11,0.39,0.06,0.08,0.39,0.06,0.14,0.47,0.812125626,Miscellaneous Symbols and Pictographs,0.6365105008077544,0.1152396338179859,0.2482498653742595,0.5212708669897684,Positive,Positive,Positive,Positive,trust
1F44E,👎,0.5,0.08,0.67,0.14,0.0,0.31,0.14,0.06,0.914491346,Miscellaneous Symbols and Pictographs,0.3065134099616858,0.4942528735632184,0.1992337164750957,-0.1877394636015326,Negative,Negative,Negative,Negative,disgust
1F44F,👏,0.08,0.39,0.08,0.0,0.64,0.0,0.25,0.53,0.787130164,Miscellaneous Symbols and Pictographs,0.6241983753740915,0.1043180846515604,0.271483539974348,0.5198802907225311,Positive,Positive,Positive,Positive,joy
1F451,👑,0.0,0.25,0.0,0.0,0.28,0.0,0.11,0.25,0.698804832,Miscellaneous Symbols and Pictographs,0.7375415282392026,0.0431893687707641,0.2192691029900332,0.6943521594684385,Positive,Positive,Positive,Positive,joy
1F47B,👻,0.11,0.08,0.08,0.69,0.0,0.11,0.31,0.08,0.740824428,Miscellaneous Symbols and Pictographs,0.3976608187134502,0.1695906432748538,0.4327485380116959,0.2280701754385964,Positive,Positive,Neutral,Positive,fear
1F480,💀,0.19,0.14,0.25,0.61,0.03,0.31,0.06,0.11,0.739462262,Miscellaneous Symbols and Pictographs,0.261437908496732,0.4684095860566449,0.2701525054466231,-0.2069716775599128,Negative,Negative,Negative,Negative,fear
